chat_history,current_prompt,expected_output

"Meeting at 3 PM.","Write down 'Send agenda to team' at the end.","Meeting at 3 PM. Send agenda to team."
"The report needs final review.","Erase 'final'.","The report needs review."
"Flight leaves at 8 AM.","Convert '8 AM' to 24-hour format.","Flight leaves at 08:00."
"We need to be there at 12 AM.","Whoops, make that PM hah","We need to be there at 12 PM."
"The project deadline is next Friday.","Replace next Friday with 'March 15'.","The project deadline is March 15."
"Client call rescheduled to 2 PM.","Move 'Client call' to the end.","Rescheduled to 2 PM. Client call."
"Tasks: Submit report, update spreadsheet.","In brackets, write high priority after Submit report.","Tasks: Submit report (high priority), update spreadsheet."
"Discussed budget updates.","Uh, we also talked about like the hiring plan.","Discussed budget updates. Also covered the hiring plan."
"I Had a quick chat with Sarah.","She said 'Let's touch base next week'.","I Had a quick chat with Sarah. She said, 'Let's touch base next week.'"
"Finalized event schedule.","Oh, and catering is booked too.","Finalized event schedule. Catering is booked too."

"Finished the quarterly report. Sent it to the team for review. Also drafted the email for stakeholders.","Write down 'Follow up with finance team' at the end.","Finished the quarterly report. Sent it to the team for review. Also drafted the email for stakeholders. Follow up with finance team."
"The client presentation is scheduled for next Monday. We still need to finalize the slides and confirm attendance.","Erase 'confirm attendance'.","The client presentation is scheduled for next Monday. We still need to finalize the slides."
"Team meeting covered progress updates. Discussed blockers and next steps. The new roadmap was introduced as well.","Convert 'new roadmap' to uppercase.","Team meeting covered progress updates. Discussed blockers and next steps. The NEW ROADMAP was introduced as well."
"Spoke with Jake about the upcoming release. He mentioned a potential delay due to testing issues. Need to update the schedule accordingly.","Replace 'potential delay' with 'confirmed delay'.","Spoke with Jake about the upcoming release. He mentioned a confirmed delay due to testing issues. Need to update the schedule accordingly."
"The supplier confirmed shipment for next week. Still waiting for tracking details. The warehouse team is prepared to receive it.","Move 'Still waiting for tracking details' to the end.","The supplier confirmed shipment for next week. The warehouse team is prepared to receive it. Still waiting for tracking details."
"Reviewed the marketing strategy for Q2. Identified areas for improvement, especially in social media outreach. Proposed a new content plan.","In brackets, write 'important' after 'social media outreach'.","Reviewed the marketing strategy for Q2. Identified areas for improvement, especially in social media outreach (important). Proposed a new content plan."
"The sales team exceeded their targets this month. We should highlight their achievements in the next all-hands meeting.","Undo last command.","The sales team exceeded their targets this month."
"Talked to HR about the hiring process. They’re reviewing applications now. The first round of interviews will begin next week.","Uh, I also asked about onboarding improvements.","Talked to HR about the hiring process. They’re reviewing applications now. The first round of interviews will begin next week. Also asked about onboarding improvements."
"The product demo went well. Customers were engaged and asked good questions. Some feedback points need to be addressed before launch.","They also asked about pricing options.","The product demo went well. Customers were engaged and asked good questions. Some feedback points need to be addressed before launch. They also asked about pricing options."
"Had a call with the vendor about contract renewal. They sent over a revised draft for review. We should go through the changes carefully.","Oh, and we need legal to check it too.","Had a call with the vendor about contract renewal. They sent over a revised draft for review. We should go through the changes carefully. We need legal to check it too."

"Went to the grocery store. Picked up some veggies and snacks. Forgot to get milk though.","Oh, uh, add 'buy milk' at the end.","Went to the grocery store. Picked up some veggies and snacks. Forgot to get milk though. Buy milk."
"Watched that new sci-fi movie last night. The plot was kinda weird but the visuals were amazing.","Mhm, change 'kinda weird' to 'a bit confusing'.","Watched that new sci-fi movie last night. The plot was a bit confusing but the visuals were amazing."
"Started playing that new open-world game. The mechanics are a little clunky, but it's fun overall.","Hmm, maybe swap 'clunky' with 'a bit rough'.","Started playing that new open-world game. The mechanics are a bit rough, but it's fun overall."
"Made some pasta for dinner. Added extra cheese and garlic. It turned out pretty good!","So like, put 'really' before 'good'.","Made some pasta for dinner. Added extra cheese and garlic. It turned out really good!"
"Did some laundry today. Still need to fold everything and put it away.","Oh, move 'Still need to fold everything' to the beginning.","Still need to fold everything and put it away. Did some laundry today."
"Finally cleaned up my desk. It was such a mess before.","Uh, can you write 'feels way better now' at the end?","Finally cleaned up my desk. It was such a mess before. Feels way better now."
"Listened to that podcast you recommended. Some parts were interesting, but it dragged a bit.","Oh yeah, put 'especially in the middle' after 'dragged a bit'.","Listened to that podcast you recommended. Some parts were interesting, but it dragged a bit, especially in the middle."
"Got a new coffee maker. Makes a huge difference in the mornings.","Oh wait, delete 'huge'.","Got a new coffee maker. Makes a difference in the mornings."
"Finally finished that book. The ending was kinda predictable, but still enjoyable.","Uh, replace 'predictable' with 'expected'.","Finally finished that book. The ending was kinda expected, but still enjoyable."
"Met up with Alex for lunch. Talked about work, life, random stuff.","Hmm, add 'oh and his new dog' at the end.","Met up with Alex for lunch. Talked about work, life, random stuff. Oh, and his new dog."

"Watched a few episodes of that new show. It’s pretty good so far.","Uh, add 'but a bit slow' at the end.","Watched a few episodes of that new show. It’s pretty good so far, but a bit slow."
"Finally cleaned out the closet. Found a bunch of old clothes to donate.","Hmm, put 'and some random junk' after 'old clothes'.","Finally cleaned out the closet. Found a bunch of old clothes and some random junk to donate."
"Made pancakes for breakfast. Used extra syrup this time.","Oh, swap 'extra syrup' with 'a ton of syrup'.","Made pancakes for breakfast. Used a ton of syrup this time."
"Had a long day at work. Just wanna relax now.","Mhm, delete 'Just wanna relax now'.","Had a long day at work."
"Started learning guitar again. My fingers hurt, but it’s fun.","Uh, change 'hurt' to 'are sore'.","Started learning guitar again. My fingers are sore, but it’s fun."
"Played basketball with the guys. My shots were off today.","Oh, put 'like really off' after 'shots'.","Played basketball with the guys. My shots were off, like really off, today."
"Finished that puzzle finally. Took way longer than expected.","Hmm, add 'but super satisfying' at the end.","Finished that puzzle finally. Took way longer than expected, but super satisfying."
"Made a playlist for road trips. Has all my favorite songs.","So like, add 'and some guilty pleasure ones' after 'favorite songs'.","Made a playlist for road trips. Has all my favorite songs and some guilty pleasure ones."
"Got a haircut today. Feels way better.","Oh wait, put 'but kinda short' at the end.","Got a haircut today. Feels way better, but kinda short."
"Cooked dinner tonight. Made way too much food.","Mmm, change 'way too much' to 'a ridiculous amount'.","Cooked dinner tonight. Made a ridiculous amount of food."
"Stayed up way too late last night. Regretting it now.","Uh, remove 'Regretting it now'.","Stayed up way too late last night."
"Met up with Jamie for coffee. Talked for like two hours.","So, write 'mostly about random stuff' at the end.","Met up with Jamie for coffee. Talked for like two hours, mostly about random stuff."
"Started watching a new anime. It’s kinda weird but interesting.","Hmm, change 'kinda weird' to 'a bit strange'.","Started watching a new anime. It’s a bit strange but interesting."
"Worked out today. Arms feel dead.","Oh, put 'especially after those push-ups' at the end.","Worked out today. Arms feel dead, especially after those push-ups."
"Got a new phone case. It’s pretty nice.","Uh, add 'but I already dropped it once' at the end.","Got a new phone case. It’s pretty nice, but I already dropped it once."
"Walked around the park. The weather was perfect.","Mhm, put 'like not too hot, not too cold' after 'perfect'.","Walked around the park. The weather was perfect, like not too hot, not too cold."
"Had sushi for lunch. Tried a new roll.","Hmm, replace 'new roll' with 'one with mango in it'.","Had sushi for lunch. Tried one with mango in it."
"Found an old journal from high school. Kinda cringey.","So like, erase 'Kinda cringey'.","Found an old journal from high school."
"Finally folded the laundry. Took forever.","Oh wait, add 'as usual' at the end.","Finally folded the laundry. Took forever, as usual."
"Listened to a new album. Some songs were great, some were meh.","Uh, write 'but overall solid' at the end.","Listened to a new album. Some songs were great, some were meh, but overall solid."
"Lost track of time gaming again. Whoops.","Mmm, add 'but totally worth it' at the end.","Lost track of time gaming again. Whoops, but totally worth it."
"Tried making coffee at home instead of buying it. Not bad.","Hmm, replace 'Not bad' with 'Actually pretty good'.","Tried making coffee at home instead of buying it. Actually pretty good."
"Did some online shopping. Got a few things I didn’t need.","Oh, erase 'I didn’t need'.","Did some online shopping. Got a few things."
"Had the weirdest dream last night. Something about flying.","So, move 'Something about flying' to the beginning.","Something about flying. Had the weirdest dream last night."
"Read a few chapters of my book. Getting really good.","Uh, change 'really good' to 'super intense'.","Read a few chapters of my book. Getting super intense."
